Navn;Ejd_beliggenhed;CVR;KOMMUNE_NR;EJD_NR;Andel;delta_Ejendoms_værdi;delta_Grund_værdi;delta_Stuehus_værdi;delta_Stuehus_Grund_værdi;Vurdering_Aktuel;Ejendoms_værdi_Aktuel;Grund_Værdi_Aktuel;Stuehus_Værdi_Aktuel;Stuehus_grundværdi_Aktuel;Historisk_vurdering;Historisk_ejendomsværdi;Historisk_grundværdi;Historisk_stuehusværdi;Historisk_stuehus_grundværdi;Elavskode;Matrnr
Middelfart kommune;Nørregade 1-3 - P.plads m/toilet;29189684;410;1015;100;30000;59800;0;0;2016;200000;199500;0;0;2004;170000;139700;0;0;400451;14BH
Middelfart kommune;Nørregade 1-3 - P.plads m/toilet;29189684;410;1015;100;30000;59800;0;0;2016;200000;199500;0;0;2004;170000;139700;0;0;400451;14BH
Middelfart kommune;Nørregade 1-3 - P.plads m/toilet;29189684;410;1015;100;30000;59800;0;0;2016;200000;199500;0;0;2004;170000;139700;0;0;400451;14DI
Middelfart kommune;Nørregade 1-3 - P.plads m/toilet;29189684;410;1015;100;30000;59800;0;0;2016;200000;199500;0;0;2004;170000;139700;0;0;400451;14DI
Middelfart kommune;Nørregade 6 - Jord;29189684;410;1018;100;369900;963700;0;0;2016;1519900;1519900;0;0;2004;1150000;556200;0;0;400451;3DS
Middelfart kommune;Nørregade 6 - Jord;29189684;410;1018;100;369900;963700;0;0;2016;1519900;1519900;0;0;2004;1150000;556200;0;0;400451;3DS
Middelfart kommune;Nørregade 6 - Jord;29189684;410;1018;100;369900;963700;0;0;2016;1519900;1519900;0;0;2004;1150000;556200;0;0;400451;3DS
Middelfart kommune;Nørregade 10;29189684;410;1020;100;-820400;42300;0;0;2016;179600;179600;0;0;2004;1000000;137300;0;0;400451;3BG
Middelfart kommune;Nørregade 10;29189684;410;1020;100;-820400;42300;0;0;2016;179600;179600;0;0;2004;1000000;137300;0;0;400451;3BG
Middelfart kommune;Nørregade 14;29189684;410;1024;100;-346400;25100;0;0;2016;83600;83600;0;0;2004;430000;58500;0;0;400451;3BA
Middelfart kommune;Nørregade 16;29189684;410;1026;100;-366400;56500;0;0;2016;173600;173600;0;0;2004;540000;117100;0;0;400451;3BB
Middelfart kommune;Nørregade 16;29189684;410;1026;100;-366400;56500;0;0;2016;173600;173600;0;0;2004;540000;117100;0;0;400451;3BB
Middelfart kommune;Nørregade 88 A;29189684;410;1096;100;0;0;0;0;2016;68700;68700;0;0;2004;68700;68700;0;0;400451;3GI
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3DX
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3DX
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3DX
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HE
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HE
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HE
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HF
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HF
Middelfart Kommune;Nørregade 88 - Skole;29189684;410;1097;100;-1700000;0;0;0;2016;17800000;361400;0;0;2004;19500000;361400;0;0;400451;3HF
Middelfart kommune;Anlægsvej 501-Bep.bælte m.m.;29189684;410;1107;100;-1515300;-1515300;0;0;2016;2526400;2526400;0;0;2004;4041700;4041700;0;0;400451;23P
Middelfart kommune;Anlægsvej 501-Bep.bælte m.m.;29189684;410;1107;100;-1515300;-1515300;0;0;2016;2526400;2526400;0;0;2004;4041700;4041700;0;0;400451;23P
Middelfart kommune;Anlægsvej 501-Bep.bælte m.m.;29189684;410;1107;100;-1515300;-1515300;0;0;2016;2526400;2526400;0;0;2004;4041700;4041700;0;0;400451;23CC
Middelfart kommune;Anlægsvej 501-Bep.bælte m.m.;29189684;410;1107;100;-1515300;-1515300;0;0;2016;2526400;2526400;0;0;2004;4041700;4041700;0;0;400451;23CC
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;8C
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;8C
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;8C
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;8C
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;37A
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;37A
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;37A
Middelfart kommune;Ridderstien 31;29189684;410;1143;100;-190000;64200;-485200;-6400;2016;730000;217200;0;0;2004;920000;153000;485200;6400;400553;37A
Middelfart kommune;Rugårdsvej 62;29189684;410;1209;100;130000;13900;0;0;2016;450000;95800;0;0;2004;320000;81900;0;0;400952;105B
Middelfart kommune;Fruerhøjvej 12;29189684;410;1261;100;42200;42200;0;0;2016;175700;175700;0;0;2004;133500;133500;0;0;400353;14S
Middelfart Kommune;Havrevænget 501 - Gr.omr.;29189684;410;1396;100;-209800;-209800;0;0;2016;223900;223900;0;0;2004;433700;433700;0;0;400353;6K
Middelfart Kommune;Havrevænget 501 - Gr.omr.;29189684;410;1396;100;-209800;-209800;0;0;2016;223900;223900;0;0;2004;433700;433700;0;0;400353;6K
Middelfart Kommune;Havrevænget 501 - Gr.omr.;29189684;410;1396;100;-209800;-209800;0;0;2016;223900;223900;0;0;2004;433700;433700;0;0;400353;8F
Middelfart Kommune;Havrevænget 501 - Gr.omr.;29189684;410;1396;100;-209800;-209800;0;0;2016;223900;223900;0;0;2004;433700;433700;0;0;400353;8F
Middelfart Kommune;Stationsvej 25 (5464) Lokalarkiv;29189684;410;1410;100;-150000;189300;0;0;2016;1550000;797700;0;0;2004;1700000;608400;0;0;400351;17A
Middelfart Kommune;Stationsvej 25 (5464) Lokalarkiv;29189684;410;1410;100;-150000;189300;0;0;2016;1550000;797700;0;0;2004;1700000;608400;0;0;400351;17A
Middelfart Kommune;Stationsvej 25 (5464) Lokalarkiv;29189684;410;1410;100;-150000;189300;0;0;2016;1550000;797700;0;0;2004;1700000;608400;0;0;400351;17D
Middelfart Kommune;Stationsvej 25 (5464) Lokalarkiv;29189684;410;1410;100;-150000;189300;0;0;2016;1550000;797700;0;0;2004;1700000;608400;0;0;400351;17D
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1T
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1V
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1AC
Middelfart Kommune;Stationsvej 24;29189684;410;1412;100;6150000;716900;0;0;2016;9200000;1469900;0;0;2004;3050000;753000;0;0;400359;1AC
